Geneid,SRR29022831,SRR29022832,SRR29022833,SRR29022834,SRR29022835,SRR29022836,SRR29022837,SRR29022838
ENSG00000302704.1,0,0,0,0,0,0,0,0
ENSG00000270171.1,4,34,4,8,0,16,1,13
ENSG00000270035.1,10,10,0,10,0,4,3,23
ENSG00000269978.2,27,70,16,34,0,24,2,7
ENSG00000300603.1,0,0,0,0,0,0,0,0
ENSG00000049245.14,2221,5128,4252,3766,2956,4276,3305,4634
ENSG00000269925.1,49,39,14,6,2,14,16,28
ENSG00000049246.17,157,1463,1027,1808,978,2185,951,3049
ENSG00000236266.2,1,9,3,17,0,7,1,5
ENSG00000049247.15,154,60,287,25,11,5,0,2
ENSG00000302605.1,5,1,4,0,4,4,5,0
ENSG00000049249.11,271,20,1245,19,443,48,178,37
ENSG00000270330.1,0,0,0,0,0,0,0,0
ENSG00000116288.15,5175,7039,8379,8314,6041,7294,7664,5268
ENSG00000299004.1,5,0,6,0,0,0,1,0
ENSG00000200344.1,0,1,2,4,0,1,0,0
ENSG00000284747.1,36,28,27,3,16,16,25,12
ENSG00000284716.1,7,0,2,0,0,0,0,2
ENSG00000116285.15,9892,4462,1759,2929,830,1834,1913,2590
ENSG00000238290.2,29,17,3,14,2,8,12,24
ENSG00000232848.1,0,0,0,0,0,4,0,0
ENSG00000301325.1,2,1,0,0,0,0,0,5
ENSG00000227634.4,4,6,2,0,0,2,3,0
ENSG00000229305.1,0,0,0,0,0,0,0,0
ENSG00000301344.1,0,0,0,0,0,0,0,0
ENSG00000200975.1,0,0,0,0,0,0,0,0
ENSG00000233645.1,0,0,0,0,0,0,0,0
ENSG00000298156.1,1,0,0,11,0,0,0,0
ENSG00000301025.1,0,1,0,0,0,0,0,0
ENSG00000301006.1,0,0,0,2,0,0,1,1
ENSG00000251977.1,0,0,0,0,0,0,0,0
ENSG00000162426.18,124,194,95,143,52,153,44,144
ENSG00000252254.1,0,0,0,0,0,0,0,0
ENSG00000142599.22,3218,10298,4719,6793,3077,5530,5497,6688
ENSG00000232912.6,5,39,15,16,10,13,5,19
ENSG00000221083.1,0,0,0,4,0,0,0,0
ENSG00000270282.1,0,0,0,0,0,0,0,0
ENSG00000234619.1,0,0,0,0,0,0,0,0
ENSG00000224315.2,0,0,0,0,0,0,0,0
ENSG00000303676.1,0,0,0,0,0,2,0,0
ENSG00000222511.2,0,0,0,0,0,0,0,0
ENSG00000226545.1,0,0,0,0,0,0,0,0
ENSG00000228423.2,0,0,2,0,0,0,0,2
ENSG00000229716.2,0,0,0,0,0,0,0,0
ENSG00000074800.18,27911,25245,35354,20053,32455,18308,22552,15152
ENSG00000274258.1,0,0,2,0,0,0,0,0
ENSG00000230679.2,4,7,6,10,7,5,6,10
ENSG00000201725.1,0,4,0,0,0,0,0,0
ENSG00000238249.2,0,0,0,0,0,0,0,0
ENSG00000310107.1,2,3,3,0,0,0,0,1
ENSG00000232208.2,0,0,0,0,0,0,0,0
ENSG00000232663.2,0,0,0,0,0,0,0,0
ENSG00000310124.1,0,0,0,0,0,0,0,0
ENSG00000131686.15,4,17,6,68,0,10,0,16
ENSG00000290109.2,0,0,0,0,0,1,0,0
ENSG00000265141.2,0,0,0,0,0,0,0,0
ENSG00000197241.4,0,0,0,5,2,0,0,0
ENSG00000142583.20,1137,355,595,93,544,88,368,151
ENSG00000252404.1,0,0,0,0,0,0,0,0
ENSG00000180758.14,755,1001,1063,840,2974,672,898,675
ENSG00000228526.9,251,420,233,426,452,261,523,491
ENSG00000284357.1,0,0,0,0,0,0,0,0
ENSG00000289914.2,2,0,0,0,2,0,8,10
ENSG00000302015.1,0,0,0,0,0,0,0,0
ENSG00000234546.6,147,232,22,155,79,143,78,110
ENSG00000301983.1,0,0,0,0,0,0,0,0
ENSG00000301968.1,0,2,6,0,0,0,2,1
ENSG00000049239.15,3854,9531,5190,5470,3858,5593,4947,7606
ENSG00000302217.1,7,16,12,5,0,4,4,10
ENSG00000171621.16,2482,1193,2404,774,1153,1122,2104,1026
ENSG00000294252.1,2,2,0,0,0,0,0,0
ENSG00000296073.1,2,0,14,0,2,0,0,0
ENSG00000296056.1,1,0,6,1,2,0,0,0
ENSG00000307568.1,4,0,71,0,11,2,23,8
ENSG00000284652.1,2,15,9,6,2,22,6,15
ENSG00000284693.3,25,94,48,67,32,83,39,61
ENSG00000252956.1,0,0,0,0,0,0,1,0
ENSG00000301013.1,12,0,0,0,3,0,0,0
ENSG00000301030.1,0,0,0,0,0,0,0,0
ENSG00000306844.1,0,2,0,0,0,6,2,0
ENSG00000296249.1,0,0,0,0,0,0,0,0
ENSG00000235263.2,0,0,0,8,1,0,0,0
ENSG00000171612.9,1164,518,742,665,596,600,1944,340
ENSG00000231181.1,2,20,2,4,0,10,2,5
ENSG00000188807.15,1427,1150,1043,518,382,630,379,602
ENSG00000307011.1,0,2,1,0,0,0,0,0
ENSG00000171608.20,1090,2334,5855,869,1711,839,1556,1675
ENSG00000179840.5,2,0,17,2,5,0,4,2
ENSG00000233268.3,0,2,0,0,0,0,0,0
ENSG00000301080.1,0,0,0,0,0,0,0,0
ENSG00000231789.5,16,51,19,67,10,22,12,20
ENSG00000171603.20,7699,11267,5004,5784,5259,3626,4851,5744
ENSG00000271264.1,0,0,0,0,0,0,0,0
ENSG00000280113.2,0,1,0,0,0,0,0,0
ENSG00000178585.17,2876,1693,951,2148,2777,1252,2451,1396
ENSG00000223989.1,0,0,0,0,0,0,0,0
ENSG00000285701.2,4,5,0,0,6,0,1,2
ENSG00000228150.2,11,5,13,5,3,2,1,3
ENSG00000162441.14,1213,1924,918,1559,1083,1322,1184,1297
ENSG00000173614.16,401,595,354,580,355,464,419,482
ENSG00000202415.1,0,0,0,0,0,0,0,0
ENSG00000283611.2,0,1,2,0,1,7,0,0
ENSG00000265521.1,0,0,0,0,0,0,0,0
ENSG00000241326.1,0,0,0,0,0,0,0,0
ENSG00000162444.14,321,906,430,1624,171,3289,246,981
ENSG00000130939.22,2429,3084,2037,2581,2017,1569,1718,2212
ENSG00000224340.1,4,0,0,0,0,0,0,1
ENSG00000233623.2,2,2,0,0,0,2,2,0
ENSG00000201746.1,1,0,0,0,0,2,0,1
ENSG00000054523.22,3547,4029,2626,2533,2502,1926,2194,3134
ENSG00000264881.1,2,0,0,0,0,0,0,0
ENSG00000199562.1,2,0,0,0,0,0,4,4
ENSG00000264501.2,0,0,0,0,0,0,0,0
ENSG00000284735.1,2,4,0,5,0,2,11,6
ENSG00000284642.1,8,1,17,14,5,38,3,7
ENSG00000142657.23,6293,3005,3659,3310,11919,3194,3172,2040
